reviews,labels
Flew Sydney to Manchester return Business Class. New Business Class seats are very good.. I got the old seat from AUH-SYD and you can definitely see the improvement. Food was good. Other airlines do offer a bigger Menu. Lounge in Terminal 3 AUH very disappointing too small and at Peak times standing room only. Etihad's main competition Emirates offer a better overall product. Etihad are trying to keep up with Emirates. They are trying to grow very quickly but missing some of the simple little things that make a great airline such as Singapore or Emirates.,0
TCX2026 Manchester to Paphos on 16 October 2012 delayed 8 hours and the handling of passenger welfare was unacceptable. Flight due to depart at 0700 hrs. On checking in at 0545 we were advised it was still 0900 for a technical problem. Only update was via the departures board which pushed back to 0930 then further information at 1000. A tannoy announced delay until 1400hrs and to collect a Â£10 refreshment voucher in a queue that took 1 hour. Thomson flight drafted in as replacement - departure now posted at 1430. As boarding given letter of explanation found out that the meal we had prepaid for was not available via Thomson. Letter stated we would be refunded flight meal money on return to UK but now have discovered we have to write in to claim it back. Took off at 1505.,0
Istanbul IST to Munich airport on March 25th at 6.25 am and the flight left on time and arrived early. The flight attendants were very friendly and the airline was very punctual. The return flight from Munich to Istanbul was just as good as well. Would fly Lufthansa again.,1
SFO-Beijing-BKK flight in June 2013 and the service was mediocre. An old aircraft with 60-70 people sharing one big TV monitor. When we first got onboard it was very hot in the cabin the stewardess said its normal and once we were flying the temperature would cool down. The flight was late so I missed my connecting flight. I was placed into an airport hotel. On the last flight coming home there was water dropping from the overhead bin so the stewardess put tissues and napkins in between the gaps.,0
Weipa-Cairns. I could hardly believe the comments below about this Qantas Link route. I have been travelling this route regularly in the past year. It is usually late and often by hours. When delays occur there is no information available at Weipa airport and the Qantas call centre cannot tell you what is happening.,0
MNL-BKK-MNL. Flew last summer on an A340. interior are old entertainment is poor (drop down tv monitor only) boarding is delayed by 15 min only (no problem) take off is again delayed by 10 min (not fault of the airline). Flight crew robotic (not consistent with their domestic crew). Return flight is same crew are robotic and not warm but they are professional. PR lags behind other Asian competitor. Will fly them again maybe after rehabilitation is finished.,1
Aug 23 from JFK to TXL and again on Sep 03 from TXL to JFK. Our Eastbound take-off was delayed 2.25 hours due to ??mechanical difficulties but the flight going back to JFK arrived a few minutes early. AB has a problem with space which is in short supply. I am average height and weight yet I could not walk in the aisles without turning sideways. A passenger in front me on the Eastbound flight reclined her seat and made the space issue more critical. Seats are narrow and seat belts date back to 1968. Staff are friendly and polite but refuse to recognize that some passengers do not understand German. Food quality surpassed my expectations saluting the American Cuisine on the Eastbound portion. The meal quality on the Westbound portion surpassed that of Business Class food on other carriers!,0
Rude staff at airport in Rome along with the staff at the Alitalia lounge in Rome. My husband needs wheelchair assistance and was treated as though he was a burden unlike other airlines who were very kind and helpful. Absolutely horrible service. Washroom was what you'd expect at a dirty gas station. Food - very poor. Never again.,0
I took CZ307 on the 4th. Due to the thunderstorm in Guangzhou our flight was delayed. The announcements were made in time and the flight attendant served us drinks. About 1.5 hrs later we took off. The meal was served soon after we were airborne the choice were limited and by the time they get to my row I didn't even have an option. However the flight attendant promised to let me choose first for the second meal. I wouldn't say the food was delicious but it's okay for what I paid for the ticket. Seat was okay but my touch screen didn't work so I had to use the control button which makes no sense at all it took me while to work that out. Toilets were cleaned promptly. I would say it was a good flight but mostly for the service. The meal could improved a bit and entertainment could be better. Would recommend it.,1
They are cheap and they are cheap for a reason! - 2 stories of incompetence - First my brother took the LGW to BKK economy return in May 2004. Outbound no problem. Return flight they dumped all the passengers in the middle of the desert (Dubai) and abandoned the flight due to supposed technical failure but later we discovered they had missed their landing slot at Gatwick. Absolute chaos at Dubai airport and the one lady Phuket airline staff deserted her post and left 300+ passengers stranded. All the Phuket Airlines officials did a runner! No explanations given! After 5 hours of irate passengers spitting nails ??an Emirates official grasped the nettle and re- scheduled everybody back to Heathrow or Gatwick on Emirates flights. My brother was delayed around 8 hours. Story no. 2 - thinking maybe my brother had a ?one off experience??I flew out same route economy class Â£456 LGW to BKK in August. Outbound no problem decent flight with average service. Return flight I re-confirmed my flight 72 hours prior with booking reference. Reached BKK airport 3 hours before departure and 3 queues were about 50 metres long already! - and hardly moving. It took an amazing 3 and half hours to eventually reach the desk as the staff were spending 80% of their time on walkie talkies. By the time I reached the desk I was told by the check in girl that the flight was overbooked and I couldn?t fly that day! ??Charming! It?s now 2.30 am I am dog tired and no Phuket flights for 3 days! ??They transferred about 8 of us to a nice hotel and put us on standby for BA/Quantas. Yes ?standby??at peak holiday season! ??no guarantee of getting home for 3 days ... lucky B.A. had a seat the next night back to Heathrow (not LGW) making my home train ticket invalid to Sheffield. I complained by email to Phuket Airlines (their website is useless). It appears that standby passengers were let onto our flight whilst valid ticket holders like myself were denied access. No reply by email but did eventually receive a letter reply 3 months later. A long convoluted generalised statement about overbooking problems and didn?t address the real issues. If you want to save money and take a risk go ahead and book - but for me Phuket Airlines nay more!,0
"FRA-LHR on A319, We sat on the plane at the gate for almost 40 minutes due to one runway closed, no drinks offered. No veg meal for my wife, Empty bottle under the middle seat tray. Landed allegedly almost on time due to the excessive time scheduled for the leg.",0
90mn delay for the flight BCN Paris Orly. Chaotic boarding very noisy passengers crew did not really care. Old B737-800 dirty. Not even a glass of water to apologise. Never again.,0
"My company and I mostly travel on SAS in the Nordic region. Heading up our company in this region I wanted to try out the highly advertised Dreamliner to and from New York. Traveling to NY from CPH was fantastic. I had booked Premium class. Going to NY I enjoyed the great seats and also quite good service. Norwegian had the return flight operated by ""Titan Airways"" a budget carrier from the UK. With an all coach seating arrangement. Norwegian did not inform us despite their website saying that if a different plane is used the customer will get informed prior to the flight. The check in people at JFK said this other plane had also premium seats. So do did the gate crew. All lies. One of my fellow travelers noticed that on his reservation document from 1 week before the trip it already said ""Titan Airways operated"" meaning that Norwegian already knew before the outbound trip that the return flight would not be the Dreamliner. Norwegian however sold us Premium tickets for both Outbound and inbound flight. I have traveled a lot throughout my career but have never seen airline just advertising one product but selling another without telling the customer. Not at the time of buying nor at the time of check-in. Besides the fact that the premium class customers had to travel unexpectedly in a very tight coach seat they now also need to go through the hassle of claiming money back. It is service of the very worst kind. Norwegian doesn't have enough Dreamliners to accommodate all the Dreamliner routes they advertise and sell.",0
I flew HND to CDG on the new Business Class. The seat is far better. Service and food always good. One small issue: new entertainment system takes at least 20 minutes to understand unless you are a specialist. Typically French: not intuitive at all complex and could have been much better if tested on real customers. Once you understand how to use it one must admit the offer is great. One big problem: they have only two toilets for business class (65 seats!) ! They had three before! Surprise surprise everybody waits in line for ages! This is a terrible mistake they made! The funny thing is that they want to upscale!,0
I recently flew to London on SAA the most horrendous and stressful experience. I arrived at Johannesburg airport 3.5 hours before take off and went straight to the check-in desk. The queue was already substantial - only one check in desk open for international passengers it took me two hours to check in. I complained to two senior personnel both times they were rude and unhelpful. When I arrived at passport control there was a similar problem. I eventually got to the plane 10 minutes before we were due to take off. We then had to wait as a passenger did not arrive and their luggage had to be removed I realise that was not SAA?s fault but more was to follow. The next delay was due to missing paper work when that eventually arrived we started to taxi to the runway only to stop. We were told there was a problem with one of the engines and had to be towed back to the docking bay to wait for repairs. Running 1.5 hours late we eventually left but the problems did not stop. Early the next morning I called a stewardess as the toilets were not flushing the captain announced some time later that everyone had to use the bathroom as they were going to be locked the mechanism wasn?t working properly. The return trip wasn?t much better the seats very extremely cramped I dropped my book and due to the seat in front being in a reclining position I couldn?t bend down and pick it up. My daughter?s seat wouldn?t recline at all so we had to take it in turns sitting there.,0
OKC to ATL then ATL to TPA MD 80 from OKC to ATL then twin engined wide body Boeing from ATL to TPA. Seats on both flights were uncomfortable with minimal recline. The headrest pushes my head forward making it difficult for me to nap. On both flights I forgot to bring my seat to the upright position for landing. The FAs didn't notice or might have figured it didn't make any difference. I would not pay to fly Delta in economy or EC on account of the uncomfortable seats. I traveled on a free ticket purchased by my spouse with FF miles so I gave Delta three stars for Value for Money. Food for purchase but items that appealed to me weren't available. The FAs were courteous the flight uneventful. However Delta is my least-favorite airline.,0
"Upon arriving at Myrtle Beach airport my Spirit flight was still scheduled and ""on time"" per the Spirit flight tracker on their website. I had pre-printed my boarding pass so I continued through security. After going through security I saw on the flight board that my Spirit flight had been canceled. When I approached the gate where my flight should have been starting to board there was no one there. Not even a Spirit employee who could answer my question where is the plane and why is it canceled? I had to go back to the check-in desk to see what was going on. Everyone on that flight was standing in line as well waiting to see when the next plane would be there. After waiting for 45 minutes to talk to a customer service rep I was told that the next flight available would not be for 2 days. I asked why it was abruptly canceled and they kept saying ""weather"". Even though it was sunny in both my departing city and arrival city. I ended up canceling my flight with Spirit and getting my money back. I booked my flight home with another airlines that could get me home the next day. I will never fly Spirit again and I strongly advise anyone from flying with this company. They do not have reasoning for their random canceled flights and extreme delays in re-booking.",0
I had booked a return trip from LGW to WHK - about 2 weeks before my scheduled departure from Gatwick I stumbled across information (by chance!) on the internet that Air Namibia had axed all its flights from Gatwick. They never informed me of it at all (later I found out it was because I had booked directly with the airline on its website rather than with a travel agent. People who booked directly with the airline received no information apparently). So I phoned their representatives (who were still active in London). The agent who took my call was very helpful though - she rescheduled my flight without issues with BA via Frankfurt. She had also assured me that I could check my bags straight through from Heathrow to Windhoek. Of course this ended up not being the case. The lady at the BA counter at Heathrow knew of no such cooperation with Air Namibia. She said I had to re-check the bags in at Frankfurt. I didn't mind though. Otherwise my flights were on time and I got to Windhoek without any other hassle. The return journey was flawless - bags checked through all the way to Heathrow from Windhoek via Frankfurt. I would fly them again.,1
I fly regularly with Jet2 to Murcia san Javier as they are the only company to fly from Edinburgh. On this trip the return flight was delayed by and hour which wasn't too bad. I always find Jet2 staff to be nice and helpful and have no real complaints other than their aircraft's are so old. I have been on and had gaps in the ceiling stuffed with kitchen paper to catch the drips of condensation. As a bit of a nervous flyer it doesn't fill me with joy when I see these things and puts me off flying with them.,0
The fleets are new comfy. Flew Narita-Dubai-Munich and Rome-Narita. Always wanted to try A380. The FA's were awful. On one flight the table was dirty. I took 4 flights in total and every time I experienced something horrible. Firstly they didn't give me the bread and I had to ask 2 times for it next I had to wait over 15 mins to receive my main dish. I asked for water that I didn't receive. This is the worst airline service I have experienced so far.,0
We booked to go East Midlands to Palma. A few days before I had an email to say travelling with Air Italy a small relatively new company. We had the same seats both ways. We were half an hour late leaving. In our seats we noticed repairs sticky tape and ripped armrests. Unfortunately we were on the same plane home - we recognised the sticky tape! My husband's lunch served at 12.30 was the same as the breakfast served on the way out!,0
Very impressed flew IAE to SAL and BOG during March. New planes friendly and smiling staff flights on time a nice change to US airlines and their flight attendants!,1
PEK-ZRH on A343. Was probably the best long-haul flight I've experienced. Everything was just perfect. Fortunately that day I flew the load factor was incredibly low so there was a lot of room for all passengers. AVOD is oldish but still can make a good service. Swiss is my European No.1 for long-haul flights.,1
Attentive and courteous cabin crew always happy to help and make the journey as pleasant as possible. 787 Dreamliner was great very quiet and lots of space - everything brand new. Fully flat beds in business which is a must but surprising how many tier 2 airlines (KLM Air France etc) don't have this. Great price and direct to Guangzhou from UK. Arrived early.,1
"Still waiting to board a flight that was supposed to leave an hour ago. All we have been told by the attendants is ""we are still waiting for more information, we can't tell you anything"". We will now miss the last ferry to Hvar and have nowhere to stay when we get to Split. ",0
My friend and I travelled back from Dalaman and found poor customer service delivery. Staff were unsmiling and off-hand initially we put this down to the language barrier and cultural differences. I had fallen asleep on this evening/night flight and as sitting on the outer seats ensured I positioned myself away from the passageway so as not to be bumped by other passengers. I was woken up by one the stewardesses pushing her serving trolley and knocking into my shoulder. On her way back she did it again. However as I was awake this time I asked pointed it out that I had been barged into the stewardess just looked blankly at me in an intimidating manner. Then smiling sarcastically apologised. Later when asking to purchase milk for my 4 year old daughter I was told that they had no milk no apology no smile and no offer of an alternative. Overall the staff serving the back of the plane were surly and rude.,0
My husband and I flew with Small Planet last year to Greece. Never heard of them before. Flight was an hour late taking off but to be honest wasn't that much of a problem - once on flight (we took our own food and drink - so couldn't mark them on food) everyone was friendly the plane was new and flight was good. I hate flying and have to know as much about airline I am travelling with and even then am really scared. This year we are flying with them again - and although still scared of flying I know the cabin crew will be once again as helpful as before. The only reason I fly is to have a holiday abroad otherwise I wouldn't but having said that I couldn't fault the cabin crew one bit they were all very friendly polite and helpful.,1
We flew Mexico to Panama as a connection to San Juan. Check in was fast. The food was surprisingly good. The staff is very friendly. I highly recommend Copa Airlines.,1
"PVG-HKG - August 13 2013. I'm a Marco Polo member but have never flown with Dragonair only CX also on regional flights. This time I had to choose Dragonair the aircraft an A320 had one of the worst seats I have experienced there were no space for legs it was just like flying a budget airline. The only good thing was that arriving at the airport pretty early the guy at the check in could put me in the first flight leaving and the flight itself was delayed ""only"" of one hour a sort of miracle in Chinese skies.",0
I first flew Cathay in 2011 to China which was a very good experience in all areas (service catering entertainment etc) however I flew Cathay again in 2014 to USA and Canada and was very shocked at how the quality of their service catering and entertainment had declined in a matter of 3 years. The staff who were previously helpful are now unfriendly lazy and unhelpful and the catering is atrocious. The food is poor quality and has little or no taste and rightly said by another reviewer they somehow no longer provide salt and pepper! I understand times are tough with certain airlines but you wouldn't expect them to skim on basic condiments. The entertainment system has limited options and sadly I think the overall passenger experience in economy has gone downhill. Don't think Cathay will be my first choice in future.,0
"IAD to VIE in business class on board a B777. An excellent flight. Service and the food prepared by the ""Flying Chef"" were superb. Excellent cabin crew. Very comfortable lie flat seats. Only negative was the cabin was too warm which made it difficult to sleep. We would definitely fly on Austrian again.",1
EWR-BOM-AMD. Flight was supposed to depart on 3 July 2014 I flew on 5th July. Everything went well until take off there was a problem with the air-conditioning which was not resolved at all. After 4.5 hours we were told to get off the plane. After getting our baggage we were told to stand in a queue for 40 mins to get hotel vouchers and after getting the voucher I was waited for the hotel transportation for 3 hours. We were 54 passengers and there was only 1 bus which could carry 34 passengers. Back to the airport for 11 am next day told to stand in line for another flight which was at 4 pm on 4 July 2014. After standing in line for 4 hours I was told the flight was full and another was scheduled for 8. Boarded the flight and after 2 hrs we were told that there was problem with the engine and it took them another 4 hours to decide that we had to get off the plane again another motel was given. Spoke to a manager of Air India and they got me on 5th July's AI 190 EWR-BOM-AMD flight. Finally on 5th July I arrived home 72 hours late. I have decided not to fly Air India in the future.,0
"Flights on time. Baggage handling was fine this time around. Snacks were provided. Toilets were clean, overall inflight experience was fine, if not better than my previous flights with American Airlines/US Airways. I would fly with this carrier again.",1
Economy round-trip from SIN-ARN via Bangkok. Found their service to be patchy: it was great on TG 410 (SIN-BKK) and TG 403 (BKK-SIN) acceptable on TG 961 (ARN-BKK) and lukewarm on TG 960 (BKK-ARN). I didn't like that they didn't have kid-sized headphones for IFE - my tiny 5-year old held hers up to her ears for the whole journey. On the ARN-BKK and BKK-SIN legs there was not much difference between my special meal and the kids' meals. They also did not give the kids any 'goody bags' except for the BKK-SIN leg where they presented my kids with lunchboxes filled with snacks. FAs didn't do their rounds much during the night portion of the BKK-ARN leg they did it more frequently during the ARN-BKK leg though they ran out of the snacks as many passengers were peckish during the night (between dinner and breakfast service). On the BKK-SIN route we got to travel in a new plane and were impressed.,1
We will never fly US Airways again after this experience. The first three legs of our journey were OK - average service but on-time arrivals but the last leg was a nightmare. Our flight was cancelled after a 4-hour delay and while cancellations happen to all airlines the way US Airways handled this one was appalling. Gate agents could not operate their own ticketing system to rebook passengers baggage was delivered two hours late and to a carousel in a different terminal and US Airways employees had no idea what was going on and were generally indifferent to passenger needs. We were traveling with an infant yet were given a hotel 15 minutes away when there was another hotel connected to the airport that other families received. Overall just a complete disaster in terms of customer service.,0
I was flying from Vancouver to Fort St. John with my 3 year old son and our plane was delayed 8 hours. I was stressed about having to be stuck there that long with nowhere to nap or entertain my son. The agent booked us a room (on WestJet) for the day at the hotel airport where I was able to bath and nap him. They also gave us food vouchers for the whole day. A few days later I received an e-mail apology with 20% off our next flights. I must say this is the best customer service I have seen. They turned what could have been a horrible stressful day into a fun day at the airport for my son and stress free for me. I will fly WestJet anytime I can. I highly recommend.,1
Goa-Mumbai-Vadodara Domestic Flight. The food on both flights was below average and service in general poor. Flight was on time and baggage wait acceptable. Needs a lot of improvement to become an international carrier. It does not make sense to pay a full fare against the low cost domestic carriers.,0
TG931 Paris - Bangkok A380 Business Seat 19K. Departed on time and Business cabin was around 75% occupied. Very good FAs on this flight service was well organized and the crew were trying hard to please the passengers. A word of warning to fellow travelers flying Thai A380s avoid seats 24B and 24J these seats are right opposite the toilet doors and I have observed many complaints from fellow passengers wanting to move from these seats.,1
I had the best transatlantic flight experience. This is due largely to Boeing 787 aircraft. Their Premium Economy surpasses any other Premium Economy class that I have flown on other airlines. Most charge almost double for the same service. I hope Norwegian eventually figures out that if they added lie-down flat business class seats they would be even more competitive. I used Norwegian on a return flight from JFK-LGW and and back. ,1
Manchester-Newark-Grand Rapids. Online check-in did not work. B757-200 old noisy airplane for long haul. Inefficient scruffy looking rude staff. Alcoholic drinks charged for. Horrible sub-standard meals. US immigration staff at Newark airport nice. Flight from Newark to Grand Rapids delayed due to tech fault. Only soft drinks served on 2 hour flight. Overall terrible experience.,0
NYU to RGN. First told flight would not be direct then 1 hour delay then flight cancelled. They book us on the evening flight with another airline. Story of operational issues with plane seemed less than truthful. Airline needs to improve reliability if they wish to serve and attract international passengers. Airline website lacks any real time flight status. At checking everything done with paper and pen. I noticed a number of passengers whose reservations they could not find. Good idea to print out receipt when you book and have it with you. Staff were helpful as they could be under the circumstances.,0
"I add this old comment out of interest to others. LHR to Sao Paulo Sao P to Salvador. Just a few minutes before scheduled take off - flight delayed by 14 hours! (gone tech). I risked loosing my sailing holiday. The TAM functionaire accompanied and assisted me to get my baggage off the plane and spent a lot of time and effort trying to help me. I say she went well beyond the call of duty! (This flight was delayed not by a fault of TAM but of BA who ""stole"" their slot!) Arriving at SP they tried to organise hotels for all the passengers. Returning to LHR plane half empty - we all got to stretch out - great sleep! the first and last time that will happen!!! All in all warmly recommend TAM - it is important to know the actual cause of the problem. (This is nearly always gross overcrowding both on the ground and in the air).",1
I have flown 3 times a year with Egyptair from LHR to CAI then on the SSH and all the flights have been excellent except on the one occasion when my suitcase was not on the CAI/SSH leg. The Friday 10.30pm flight suits me and the couple of hours transit in Cairo is a small price to pay when you can arrive at SSH at 9.00am and have the whole day there. The food and drinks are fine why people especially British are expecting alcohol when it is a Muslim airline is beyond me and surely they can manage without a drink for a few hours. Price wise they often work out cheaper than Easyjet and you can take 46kg of luggage in economy without having to pay for it not to mention not having to pay for food drinks having the pleasure of IFE and flights that operate daily and at really convenient times.,1
NRT-SVO-IST and BEG-SVO-NRT. NRT-SVO(333) Check-in was smooth. Lounge at NRT (Delta) was comfortable. Cabin was clean. Seat was comfortable. CAs were friendly. Food was very good. it was a nice flight. SVO-IST(321) 1 hour delay. It's not bad. BEG-SVO (320) Check in started 2 hours before the flight. Lounge was good. CAs were friendly. Food was good. SVO-NRT(333) Connection was smooth. Newest 333's seat was very comfortable for sleep. Not sliding down. Cabin was clean. CAs were very friendly. Food was excellent. It was a quite nice flight. Problem was logistics at the airport.,1
LGW-SKG roundtrip. Very good value for money. On time flights nice check-in area at Gatwick airport clean and modern aircraft reasonable prices for luggage friendly website easy to book a flight.,1
Flew from Toronto to San Jose CR via Houston. Trying to leave YYZ Air Canada could not provide more than one person at the gate and then did not have a flight crew available. The delays were not notified in advance and we could not cancel hotel reservations. We missed connecting flight in Houston but were informed that United was holding flight for us. When we arrived at United counter they informed us that they told AC that flight was not held so we returned to AC counter only to find it closed. We then went looking for baggage and were told that the baggage was never included on flight out and then hung up on us. We have now spent five days waiting for baggage with no information provided to us or partner carriers very unusual. Typical response is apology with no further information or update nor return call of any sort. Complete incompetence exhibited by AC throughout this process and direct and outright lies in regards to continued correspondence with the firm. I will never fly with this airline again.,0
Return trip from Singapore to Kolkata (India). Silent (no audio) entertainment system narrow seats food was not good missed luggage (though I had about 15 hrs layover/connecting time at Changi). Chaotic customer service at Kolkata regarding missed luggage. I would not recommend SilkAir to anyone!,0
DY7042 FLL-CPH June 15th 2014. DY7041 CPH-FLL July 9 2014. I think the dreamliner was a good travel experience flying from Fort Lauderdale to Copenhagen despite a 1 hour delay in take off. The return from Copenhagen to Fort Lauderdale with a 787 was less of a pleasant experience however the worst was arriving at Fort Lauderdale airport. Horrendous in many ways confusing and tiny passport hall even worse was the baggage hall no information total confusion and a line to customs that wrapped around the baggage hall twice yes twice! The ground personal I must say was nicer than the rest of the experience. Unfortunately never again not due to the flying experience but the arrival experience.,0
Adelaide-Kuala Lumpur-Beijing. Happy with the Business Class product offered by Malaysia Airlines but if this airline wants to compete with the new player on the block in Adelaide Air Asia then clean the fuselages of your aeroplanes! A clean white Air Asia A330 (yes in all white colour) pulling up alongside Malaysia's sooty white fuselage is not a good look. Also noticed a dirty A330 at KL so ours was not a one off. Also hoping Business Class lounge at KL will be re-opened soon. One small gripe about food service lunch out of Adelaide was served at 11.30am after a 10 am departure. Was too soon. Two years ago a light breakfast was served with lunch later in the flight. Maybe a cost cutting exercise?,1
I'm still at Bangkok airport waiting for my connecting flight  having just stepped off my economy Heathrow - Bangkok flight. Given some of the reviews on here I have to be honest - I was a little worried about the experience in advance. Honestly there was no need - the seats and leg room were great as was the food which was tasty and plentiful the crew couldn't have been nicer the toilets impeccable! It wasn't cold and the pillow and blanket were if good quality. This is a great airline more cost effective than Thai air or BA. I have no idea what all these people have to moan about! I would definitely use this airline again.,1
I will never book with them again. I am currently stranded in Seattle with my 3 children who I had booked to fly as unaccompanied minors. We called to book their flights and were assured that everything was in order. After a 5 hour drive to the airport today we were told that they could not go on their flight because it was the last flight of the day out of their connecting city. Even after calling twice to confirm everything before we left! We were offered nothing more than an insincere apology. It's like they didn't even care. What pathetic customer service. Will never fly with this airline.,0
"June 25th 2014. My wife and daughter boarded in Boston. The door was closed and we were ready to depart for London. Then a baggage cart hit the airplane. We deplaned and that was understandable. After an hour we were told the plane would not depart and there was no room on any other planes for days. ""Call your friends - make your own arrangements!"" was the only customer relations help offered by British Airways. The BA help on the ground said there were no hotels on vouchers. I really yes really thought British Airways was the standard of air travel. If you have any alternative do not book British Airways. They're great as long as everything is going as planned. If anything goes wrong they are a confused people who have no idea how to help you.",0
I am a frequent flyer due to work but this was my first and last time using Etihad Airways. I would say this was the worst airline I have ever travelled with. The planes are old and cramped the staff are unpleasant and the food terrible. My eight hour flight from Abu Dhabi to Dublin felt like days. I will be using more reputable airlines in the future such as South African Airways or BA.,0
"Business Class into Brunei and back to Brisbane on more of an experience likened to ""can't be bothered with you class"". Safety instructions barely comprehensible no indication of where toilets are curtains drawn all night where staff congregate and socialize but you will see no staff all night. Breakfast terrible - no other offerings are given to you due to the excuse ""we don't have any"". The staff were very offhandish only one toilet was offered for use of all business class passengers as the opposite toilet was closed during the trip. At 5pm in the afternoon the blinds on every window had been drawn by staff and we were expected to go to sleep which about 5 of the 12 or so travellers were doing in the darkened cabin. A member of staff doing a surprise stroll to other end of aircraft nastily says ""keep your voices down as other people are sleeping"". We were chatting to each other in our seats quietly. This was a disrespectful nasty stewardess with bad attitude. I would never fly with this airline again. Try to find their website with the complaints or public relations section I believe it is impossible to find.",0
